document_id,filename,predicted_doc_type,baseline_score,overall_score,reviewer_notes,source_path
09a29fc842b54a618c168542557af292,cover_letter1.pdf,Cover Letter,50,,,data\training\classification_samples\Cover_Letter\cover_letter1.pdf
2f1fc419d37d4c9495b1b966c365f3e8,cover_letter2.pdf,Cover Letter,48,,,data\training\classification_samples\Cover_Letter\cover_letter2.pdf
a49c5cbd4823487ba04b5f25e2bf6091,cover_letter3.pdf,Cover Letter,58,,,data\training\classification_samples\Cover_Letter\cover_letter3.pdf
ce5388010e4d45079b2070cb3b03281a,cover_letter4.pdf,Cover Letter,55,,,data\training\classification_samples\Cover_Letter\cover_letter4.pdf
494d651cd6a14c4493172ca24cb6ee49,cover_letter5.pdf,Cover Letter,43,,,data\training\classification_samples\Cover_Letter\cover_letter5.pdf
91ce3454d9384f4c874388338f87f00d,cover_letter6.pdf,Cover Letter,38,,,data\training\classification_samples\Cover_Letter\cover_letter6.pdf
131f5a5e2db34e5d93222f820ec42cd3,cover_letter7.pdf,Cover Letter,48,,,data\training\classification_samples\Cover_Letter\cover_letter7.pdf
037870d6996c4309afea55704bdb9b62,cv1.pdf,Resume,69,,,data\training\classification_samples\CV\cv1.pdf
4d564d509f344f9195cad1270ff0cabb,cv2.pdf,Resume,74,,,data\training\classification_samples\CV\cv2.pdf
a48e0aba9d0543f8bc7a3dcc5db92d6d,cv3.pdf,Resume,69,,,data\training\classification_samples\CV\cv3.pdf
332d9031ca8b4b3381d0e984d66f556d,cv4.pdf,Resume,74,,,data\training\classification_samples\CV\cv4.pdf
318e7ae14320496796f53cf25a4e5d08,essay1.pdf,Essay,32,,,data\training\classification_samples\Essay\essay1.pdf
bf720793de244352acd20ec3f0a33606,essay2.pdf,Essay,32,,,data\training\classification_samples\Essay\essay2.pdf
e33e6e4d78f54b1a8285ec3b04315270,essay3.pdf,Essay,28,,,data\training\classification_samples\Essay\essay3.pdf
0e07321025c74a058a30f0c863d1d812,essay4.pdf,Essay,41,,,data\training\classification_samples\Essay\essay4.pdf
24deb30d407f41eeb8f6d384790b5acb,essay5.pdf,Essay,66,,,data\training\classification_samples\Essay\essay5.pdf
e4bad57fb6a7484eb2d638b6c653a22b,essay6.pdf,Essay,49,,,data\training\classification_samples\Essay\essay6.pdf
5faeca7c71a84a0eab1a300124f25acf,proposal1.pdf,Proposal,44,,,data\training\classification_samples\Proposal\proposal1.pdf
d333063274aa4ad99efc9b48717657b7,proposal2.pdf,Proposal,54,,,data\training\classification_samples\Proposal\proposal2.pdf
d3bd9b6acef0418fa082ecc9baa08993,proposal3.pdf,Proposal,74,,,data\training\classification_samples\Proposal\proposal3.pdf
fa2da28a3a6343e9a1474e56231df55c,proposal4.pdf,Proposal,49,,,data\training\classification_samples\Proposal\proposal4.pdf
010ea812446c45d3b8b38e0ad29581c3,proposal5.pdf,Proposal,65,,,data\training\classification_samples\Proposal\proposal5.pdf
77dbdf0e70a4446e81b3a4218149115c,proposal6.pdf,Proposal,53,,,data\training\classification_samples\Proposal\proposal6.pdf
d591f04d8c32423d8b0df664afc2545b,report1.pdf,Report,46,,,data\training\classification_samples\Report\report1.pdf
a106786e093840b4ac703fb917f898fc,report2.pdf,Report,63,,,data\training\classification_samples\Report\report2.pdf
b8e9987b3fba4501b3b639b5da1be1d9,report3.pdf,Report,70,,,data\training\classification_samples\Report\report3.pdf
e547fd83e69d45499e0759c29daf2560,report4.pdf,Report,62,,,data\training\classification_samples\Report\report4.pdf
fbefc21cd7a046839dbab923df378d67,report5.pdf,Report,70,,,data\training\classification_samples\Report\report5.pdf
